Date,Real Total Return Price (S&P500),Real Total Bond Returns,Consumer Price Index CPI
1871.01,114.69,1,12.46
1871.02,113.34,0.97,12.84
1871.03,114.95,0.96,13.03
1871.04,123.23,1,12.56
1871.05,129.87,1.03,12.27
1871.06,131.42,1.05,12.08
1871.07,129.55,1.06,12.08
1871.08,133.9,1.08,11.89
1871.09,132.72,1.06,12.18
1871.1,124.51,1.05,12.37
1871.11,126.45,1.05,12.37
1871.12,126.84,1.03,12.65
1872.01,130.64,1.04,12.65
1872.02,131.78,1.04,12.65
1872.03,134.68,1.03,12.84
1872.04,136.01,1.01,13.13
1872.05,136.61,1.01,13.13
1872.06,136.9,1.02,13.03
1872.07,138.76,1.04,12.84
1872.08,136.76,1.04,12.94
1872.09,133.99,1.03,13.03
1872.1,138.22,1.06,12.75
1872.11,134.34,1.03,13.13
1872.12,140.31,1.05,12.94
1873.01,142.11,1.05,12.94
1873.02,140.83,1.03,13.23
1873.03,140.43,1.04,13.23
1873.04,139.22,1.05,13.23
1873.05,143.31,1.07,12.94
1873.06,146.37,1.11,12.56
1873.07,146.85,1.12,12.56
1873.08,147.64,1.12,12.56
1873.09,137.15,1.13,12.56
1873.1,128.94,1.16,12.27
1873.11,129.17,1.21,11.89
1873.12,138.86,1.18,12.18
1874.01,145,1.17,12.37
1874.02,150.22,1.18,12.37
1874.03,148.89,1.19,12.37
1874.04,147.93,1.22,12.18
1874.05,146.1,1.23,12.08
1874.06,149.89,1.27,11.8
1874.07,149.6,1.27,11.89
1874.08,152.08,1.29,11.8
1874.09,155.4,1.3,11.8
1874.1,158.55,1.33,11.61
1874.11,162.24,1.35,11.51
1874.12,162.16,1.36,11.51
1875.01,163.13,1.37,11.51
1875.02,163.74,1.38,11.51
1875.03,166.88,1.39,11.51
1875.04,168.64,1.39,11.61
1875.05,167.19,1.43,11.32
1875.06,167.62,1.47,11.13
1875.07,169,1.48,11.13
1875.08,169.31,1.48,11.23
1875.09,170.2,1.5,11.13
1875.1,168.47,1.51,11.13
1875.11,173.68,1.53,11.04
1875.12,176.2,1.56,10.94
1876.01,182.42,1.58,10.85
1876.02,185.9,1.59,10.85
1876.03,186.51,1.6,10.85
1876.04,182.11,1.62,10.75
1876.05,182.92,1.69,10.37
1876.06,187.88,1.74,10.09
1876.07,186.74,1.75,10.09
1876.08,178.46,1.74,10.18
1876.09,167.13,1.74,10.28
1876.1,164.31,1.71,10.47
1876.11,160.84,1.71,10.56
1876.12,158.21,1.68,10.75
1877.01,155.21,1.66,10.94
1877.02,150.99,1.71,10.66
1877.03,151.08,1.8,10.18
1877.04,137.31,1.76,10.47
1877.05,135.83,1.74,10.66
1877.06,134.27,1.84,10.09
1877.07,139.82,1.83,10.18
1877.08,156.4,1.91,9.8
1877.09,168.71,1.94,9.7
1877.1,173.26,1.95,9.7
1877.11,174.94,2,9.51
1877.12,175.25,2,9.51
1878.01,181.55,2.08,9.23
1878.02,180.38,2.11,9.13
1878.03,188.6,2.16,8.94
1878.04,196.84,2.19,8.85
1878.05,204.95,2.28,8.56
1878.06,214.97,2.34,8.37
1878.07,217.88,2.32,8.47
1878.08,214.54,2.31,8.56
1878.09,219.84,2.32,8.56
1878.1,220.74,2.35,8.47
1878.11,223.57,2.39,8.37
1878.12,228.45,2.46,8.18
1879.01,235.32,2.44,8.28
1879.02,242.09,2.42,8.37
1879.03,241.93,2.46,8.28
1879.04,253.83,2.5,8.18
1879.05,266.33,2.52,8.18
1879.06,271.91,2.56,8.09
1879.07,275.27,2.54,8.18
1879.08,278.41,2.55,8.18
1879.09,280.01,2.48,8.47
1879.1,295.05,2.36,8.94
1879.11,296.1,2.25,9.42
1879.12,287.78,2.19,9.7
1880.01,291.32,2.14,9.99
1880.02,297.45,2.15,9.99
1880.03,301.33,2.14,10.09
1880.04,307.14,2.24,9.7
1880.05,292.54,2.32,9.42
1880.06,301.03,2.38,9.23
1880.07,316.09,2.39,9.23
1880.08,328.7,2.41,9.23
1880.09,326,2.4,9.32
1880.1,336.75,2.41,9.32
1880.11,352.19,2.4,9.42
1880.12,364.31,2.39,9.51
1881.01,391.44,2.42,9.42
1881.02,387.68,2.41,9.51
1881.03,393.52,2.42,9.51
1881.04,389.83,2.4,9.61
1881.05,412.95,2.43,9.51
1881.06,419.57,2.44,9.51
1881.07,402.45,2.43,9.61
1881.08,386.87,2.39,9.8
1881.09,376.93,2.31,10.18
1881.1,369.01,2.29,10.28
1881.11,376.47,2.32,10.18
1881.12,367.15,2.33,10.18
1882.01,363.28,2.34,10.18
1882.02,353.63,2.33,10.28
1882.03,354.65,2.33,10.28
1882.04,353.02,2.32,10.37
1882.05,347.19,2.3,10.47
1882.06,343.86,2.29,10.56
1882.07,368.16,2.32,10.47
1882.08,377.41,2.3,10.56
1882.09,393.33,2.37,10.28
1882.1,387.89,2.4,10.18
1882.11,376.5,2.43,10.09
1882.12,383.79,2.46,9.99
1883.01,383.58,2.47,9.99
1883.02,373.21,2.45,10.09
1883.03,383.19,2.49,9.99
1883.04,396.76,2.52,9.9
1883.05,395.63,2.55,9.8
1883.06,412.95,2.63,9.51
1883.07,416.82,2.7,9.32
1883.08,399.89,2.7,9.32
1883.09,410.46,2.74,9.23
1883.1,401.36,2.75,9.23
1883.11,413.64,2.79,9.13
1883.12,402.44,2.77,9.23
1884.01,392.44,2.78,9.23
1884.02,405.11,2.79,9.23
1884.03,405.65,2.8,9.23
1884.04,397.54,2.87,9.04
1884.05,375.34,2.94,8.85
1884.06,362.15,2.95,8.85
1884.07,368.26,2.99,8.75
1884.08,393.56,3,8.75
1884.09,387.5,3.05,8.66
1884.1,381.23,3.09,8.56
1884.11,384.27,3.17,8.37
1884.12,390.1,3.22,8.28
1885.01,383.39,3.23,8.28
1885.02,392.88,3.21,8.37
1885.03,405.18,3.3,8.18
1885.04,401.79,3.27,8.28
1885.05,408.74,3.36,8.09
1885.06,418.88,3.46,7.9
1885.07,431.45,3.43,7.99
1885.08,457.76,3.44,7.99
1885.09,459.48,3.5,7.9
1885.1,488.23,3.51,7.9
1885.11,515.81,3.48,7.99
1885.12,501.89,3.42,8.18
1886.01,515.8,3.51,7.99
1886.02,527.68,3.52,7.99
1886.03,524.92,3.56,7.9
1886.04,526.15,3.61,7.8
1886.05,530.8,3.71,7.61
1886.06,564.2,3.77,7.52
1886.07,567.66,3.73,7.61
1886.08,566.84,3.69,7.71
1886.09,583.6,3.69,7.71
1886.1,600.4,3.7,7.71
1886.11,617.24,3.71,7.71
1886.12,595.85,3.67,7.8
1887.01,577.39,3.59,7.99
1887.02,568.42,3.55,8.09
1887.03,583.7,3.56,8.09
1887.04,599.06,3.57,8.09
1887.05,611.39,3.57,8.09
1887.06,602.9,3.62,7.99
1887.07,597.36,3.67,7.9
1887.08,577.58,3.64,7.99
1887.09,579.19,3.69,7.9
1887.1,555.32,3.65,7.99
1887.11,561.52,3.61,8.09
1887.12,547.66,3.54,8.28
1888.01,547.67,3.51,8.37
1888.02,552.99,3.56,8.28
1888.03,534.18,3.58,8.28
1888.04,544.67,3.64,8.18
1888.05,560.82,3.7,8.09
1888.06,552.13,3.76,7.99
1888.07,561.96,3.73,8.09
1888.08,576.14,3.75,8.09
1888.09,592.55,3.76,8.09
1888.1,584.52,3.74,8.18
1888.11,568,3.71,8.28
1888.12,559.24,3.73,8.28
1889.01,592.63,3.88,7.99
1889.02,608.82,3.93,7.9
1889.03,605.66,3.99,7.8
1889.04,606.7,4.01,7.8
1889.05,640.93,4.12,7.61
1889.06,654.03,4.13,7.61
1889.07,642.99,4.15,7.61
1889.08,653.74,4.16,7.61
1889.09,663.53,4.12,7.71
1889.1,653.69,4.13,7.71
1889.11,649.87,4.14,7.71
1889.12,640.54,4.11,7.8
1890.01,666.22,4.22,7.61
1890.02,661.07,4.23,7.61
1890.03,658.37,4.23,7.61
1890.04,674.37,4.24,7.61
1890.05,696.74,4.19,7.71
1890.06,694.05,4.2,7.71
1890.07,691.36,4.21,7.71
1890.08,653.23,4.06,7.99
1890.09,636.99,4.02,8.09
1890.1,610.45,4.03,8.09
1890.11,581.88,4.13,7.9
1890.12,570.56,4.14,7.9
1891.01,609.95,4.2,7.8
1891.02,612.35,4.16,7.9
1891.03,596.21,4.12,7.99
1891.04,611.04,4.09,8.09
1891.05,618.11,4.15,7.99
1891.06,622.74,4.26,7.8
1891.07,622.41,4.33,7.71
1891.08,645.68,4.34,7.71
1891.09,709.23,4.41,7.61
1891.1,711.67,4.42,7.61
1891.11,712.34,4.49,7.52
1891.12,736.53,4.51,7.52
1892.01,772.21,4.64,7.33
1892.02,776.22,4.65,7.33
1892.03,808.29,4.78,7.14
1892.04,820.52,4.86,7.04
1892.05,823.32,4.87,7.04
1892.06,821.72,4.88,7.04
