Date,Consumer Price Index CPI,Real Total Return Price,Real Total Bond Returns
1871.01,12.46,114.69,1
1871.02,12.84,113.34,0.97
1871.03,13.03,114.95,0.96
1871.04,12.56,123.23,1
1871.05,12.27,129.87,1.03
1871.06,12.08,131.42,1.05
1871.07,12.08,129.55,1.06
1871.08,11.89,133.9,1.08
1871.09,12.18,132.72,1.06
1871.1,12.37,124.51,1.05
1871.11,12.37,126.45,1.05
1871.12,12.65,126.84,1.03
1872.01,12.65,130.64,1.04
1872.02,12.65,131.78,1.04
1872.03,12.84,134.68,1.03
1872.04,13.13,136.01,1.01
1872.05,13.13,136.61,1.01
1872.06,13.03,136.9,1.02
1872.07,12.84,138.76,1.04
1872.08,12.94,136.76,1.04
1872.09,13.03,133.99,1.03
1872.1,12.75,138.22,1.06
1872.11,13.13,134.34,1.03
1872.12,12.94,140.31,1.05
1873.01,12.94,142.11,1.05
1873.02,13.23,140.83,1.03
1873.03,13.23,140.43,1.04
1873.04,13.23,139.22,1.05
1873.05,12.94,143.31,1.07
1873.06,12.56,146.37,1.11
1873.07,12.56,146.85,1.12
1873.08,12.56,147.64,1.12
1873.09,12.56,137.15,1.13
1873.1,12.27,128.94,1.16
1873.11,11.89,129.17,1.21
1873.12,12.18,138.86,1.18
1874.01,12.37,145,1.17
1874.02,12.37,150.22,1.18
1874.03,12.37,148.89,1.19
1874.04,12.18,147.93,1.22
1874.05,12.08,146.1,1.23
1874.06,11.8,149.89,1.27
1874.07,11.89,149.6,1.27
1874.08,11.8,152.08,1.29
1874.09,11.8,155.4,1.3
1874.1,11.61,158.55,1.33
1874.11,11.51,162.24,1.35
1874.12,11.51,162.16,1.36
1875.01,11.51,163.13,1.37
1875.02,11.51,163.74,1.38
1875.03,11.51,166.88,1.39
1875.04,11.61,168.64,1.39
1875.05,11.32,167.19,1.43
1875.06,11.13,167.62,1.47
1875.07,11.13,169,1.48
1875.08,11.23,169.31,1.48
1875.09,11.13,170.2,1.5
1875.1,11.13,168.47,1.51
1875.11,11.04,173.68,1.53
1875.12,10.94,176.2,1.56
